id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
100137,2,4,Week day lunch,6,Avengers,Coke,Parents,None,Pizza
100274,3,5,Week day dinner,7,Inception,Sprite,Siblings,A little (mild),Sushi
100411,4,6,Weekend lunch;Weekend dinner,8,The Godfather,Pepsi,Friends,A moderate amount (medium),Shawarma
100548,5,7,Weekend dinner,9,Shazam,Water,Teachers,A lot (hot),Pizza
100685,1,8,At a party,10,Frozen,Orange Juice,Strangers,None,Sushi
100822,2,9,Late night snack;Week day lunch,11,Titanic,Lemonade,Parents;Friends,A little (mild),Shawarma
100959,3,10,Week day dinner;Weekend lunch,12,Jurassic Park,Root Beer,Siblings,A moderate amount (medium),Pizza
101096,4,11,Weekend lunch,13,The Matrix,Fanta,Teachers,A lot (hot),Sushi
101233,5,12,Weekend dinner;At a party,14,Star Wars,Ginger Ale,Friends;Parents,A little (mild),Shawarma
101370,1,13,At a party,15,Interstellar,Coke,Siblings,None,Pizza
101507,2,14,Late night snack;Week day dinner,16,The Lion King,Sprite,Friends;Teachers,A moderate amount (medium),Sushi
101644,3,15,Week day lunch,17,Coco,Pepsi,Strangers,A lot (hot),Shawarma
101781,4,3,Week day dinner;Weekend lunch;Weekend dinner,18,Moana,Water,Parents;Siblings;Friends,A little (mild),Pizza
101918,5,4,Weekend lunch;At a party,19,Deadpool,Orange Juice,Teachers;Strangers,A little (mild),Sushi
102055,1,5,Weekend dinner,20,Harry Potter,Lemonade,Friends,None,Shawarma
102192,2,6,At a party;Late night snack,5,Guardians,Root Beer,Parents;Teachers,A moderate amount (medium),Pizza
102329,3,7,Late night snack,6,Dune,Fanta,Siblings,A lot (hot),Sushi
102466,4,8,Week day lunch;Week day dinner,7,Mulan,Ginger Ale,Friends;Strangers,A little (mild),Shawarma
102603,5,9,Week day dinner,8,Casablanca,Coke,Teachers,None,Pizza
102740,1,10,Weekend lunch;Weekend dinner,9,Matrix Reloaded,Sprite,Friends;Parents,A moderate amount (medium),Sushi
102877,2,11,Weekend dinner,10,Avengers,Pepsi,Siblings,A lot (hot),Shawarma
103014,3,12,At a party,11,Inception,Water,Teachers,A little (mild),Pizza
103151,4,13,Late night snack;Week day lunch,12,The Godfather,Orange Juice,Friends;Siblings,A moderate amount (medium),Sushi
103288,5,14,Week day lunch,13,Shazam,Lemonade,Parents,A lot (hot),Shawarma
103425,1,15,Week day dinner,14,Frozen,Root Beer,Friends,A little (mild),Pizza
103562,2,3,Weekend lunch;Weekend dinner,15,Titanic,Fanta,Teachers,A moderate amount (medium),Sushi
103699,3,4,Weekend dinner,16,Jurassic Park,Ginger Ale,Siblings,A lot (hot),Shawarma
103836,4,5,At a party;Late night snack,17,The Matrix,Coke,Friends;Teachers,A little (mild),Pizza
103973,5,6,Late night snack,18,Star Wars,Sprite,Parents,A moderate amount (medium),Sushi
104110,1,7,Week day lunch;Week day dinner,19,Interstellar,Pepsi,Friends;Siblings,A lot (hot),Shawarma
104247,2,8,Week day dinner,20,The Lion King,Water,Teachers,A little (mild),Pizza
104384,3,9,Weekend lunch;Weekend dinner;At a party,5,Coco,Orange Juice,Siblings;Friends;Parents,A moderate amount (medium),Sushi
104521,4,10,Weekend dinner,6,Moana,Lemonade,Teachers;Strangers,A lot (hot),Shawarma
104658,5,11,At a party;Late night snack,7,Deadpool,Root Beer,Parents;Friends,A little (mild),Pizza
104795,1,12,Late night snack,8,Harry Potter,Fanta,Siblings,None,Sushi
104932,2,13,Week day lunch,9,Guardians,Ginger Ale,Friends,A moderate amount (medium),Shawarma
105069,3,14,Week day dinner;Weekend lunch,10,Dune,Coke,Teachers,A lot (hot),Pizza
105206,4,15,Weekend lunch;At a party,11,Mulan,Sprite,Friends;Siblings,A little (mild),Sushi
105343,5,3,At a party,12,Casablanca,Pepsi,Teachers,None,Shawarma
105480,1,4,Late night snack;Week day lunch,13,Matrix Reloaded,Water,Friends;Parents,A moderate amount (medium),Pizza
105617,2,5,Week day lunch,14,Avengers,Orange Juice,Siblings,A lot (hot),Sushi
105754,3,6,Week day dinner;Week day lunch,15,Inception,Lemonade,Teachers;Friends,A little (mild),Shawarma
105891,4,7,Weekend lunch;Weekend dinner,16,The Godfather,Root Beer,Parents;Siblings,A moderate amount (medium),Pizza
106028,5,8,Weekend dinner,17,Shazam,Fanta,Friends,A lot (hot),Sushi
106165,1,9,At a party;Weekend lunch;Weekend dinner,18,Frozen,Ginger Ale,Teachers;Strangers,A little (mild),Shawarma
106302,2,10,Weekend lunch,19,Titanic,Coke,Friends,A moderate amount (medium),Pizza
106439,3,11,Weekend dinner;At a party,20,Jurassic Park,Sprite,Parents;Teachers,A lot (hot),Sushi
106576,4,12,At a party,5,The Matrix,Pepsi,Siblings,A little (mild),Shawarma
106713,5,13,Late night snack;Week day lunch,6,Star Wars,Water,Friends;Teachers,A moderate amount (medium),Pizza
106850,1,14,Week day lunch,7,Interstellar,Orange Juice,Parents,A lot (hot),Sushi
106987,2,15,Week day dinner;Weekend lunch,8,The Lion King,Lemonade,Friends;Siblings,A little (mild),Shawarma
107124,3,3,Weekend lunch;Weekend dinner;At a party,9,Coco,Root Beer,Teachers;Friends;Parents,A moderate amount (medium),Pizza
107261,4,4,Weekend dinner,10,Moana,Fanta,Siblings,A lot (hot),Sushi
107398,5,5,At a party;Late night snack,11,Deadpool,Ginger Ale,Teachers;Strangers,A little (mild),Shawarma
107535,1,6,Late night snack,12,Harry Potter,Coke,Friends,A moderate amount (medium),Pizza
107672,2,7,Week day lunch;Week day dinner,13,Guardians,Sprite,Parents;Friends,A lot (hot),Sushi
107809,3,8,Week day dinner,14,Dune,Pepsi,Teachers,A little (mild),Shawarma
107946,4,9,Weekend lunch;Week day lunch,15,Mulan,Water,Siblings,A moderate amount (medium),Pizza
108083,5,10,Week day lunch;Weekend dinner;At a party,16,Casablanca,Orange Juice,Friends;Teachers;Parents,A lot (hot),Sushi
108220,1,11,Weekend dinner,17,Matrix Reloaded,Lemonade,Siblings,A little (mild),Shawarma
108357,2,12,At a party;Late night snack,18,Avengers,Root Beer,Friends;Teachers,A moderate amount (medium),Pizza
108494,3,13,Late night snack,19,Inception,Fanta,Parents,A lot (hot),Sushi
108631,4,14,Week day lunch;Week day dinner,20,The Godfather,Ginger Ale,Friends;Siblings,A little (mild),Shawarma
108768,5,15,Week day dinner;Weekend lunch;Weekend dinner,5,Shazam,Coke,Teachers;Strangers,A moderate amount (medium),Pizza
108905,1,3,Weekend lunch,6,Frozen,Sprite,Friends,None,Sushi
109042,2,4,Weekend dinner;At a party,7,Titanic,Pepsi,Parents,A little (mild),Shawarma
109179,3,5,At a party,8,Jurassic Park,Water,Teachers,A moderate amount (medium),Pizza
109316,4,6,Late night snack;Week day lunch,9,The Matrix,Orange Juice,Siblings,A lot (hot),Sushi
109453,5,7,Week day lunch;Weekend dinner,10,Star Wars,Lemonade,Friends;Parents,A little (mild),Shawarma
109590,1,8,Weekend dinner,11,Interstellar,Root Beer,Teachers,A moderate amount (medium),Pizza
109727,2,9,At a party;Weekend lunch,12,The Lion King,Fanta,Siblings,A lot (hot),Sushi
109864,3,10,Late night snack;Week day dinner;Weekend lunch,13,Coco,Ginger Ale,Friends;Teachers;Parents,A little (mild),Shawarma
110001,4,11,Week day dinner,14,Moana,Coke,Teachers,A moderate amount (medium),Pizza
110138,5,12,Weekend lunch;At a party,15,Deadpool,Sprite,Friends;Siblings,A lot (hot),Sushi
110275,1,13,At a party,16,Harry Potter,Pepsi,Teachers,A little (mild),Shawarma
110412,2,14,Late night snack;Week day lunch,17,Guardians,Water,Friends;Teachers,A moderate amount (medium),Pizza
110549,3,15,Week day lunch;Weekend dinner,18,Dune,Orange Juice,Siblings,A lot (hot),Sushi
110686,4,3,Weekend dinner;At a party,19,Mulan,Lemonade,Friends;Parents,A little (mild),Shawarma
110823,5,4,At a party;Late night snack;Week day dinner,20,Casablanca,Root Beer,Teachers;Siblings;Friends,A moderate amount (medium),Pizza
110960,1,5,Late night snack,5,Matrix Reloaded,Fanta,Parents,A lot (hot),Sushi
111097,2,6,Week day lunch;Weekend lunch,6,Avengers,Ginger Ale,Friends;Teachers,A little (mild),Shawarma
111234,3,7,Weekend lunch,7,Inception,Coke,Siblings,A moderate amount (medium),Pizza
111371,4,8,Weekend dinner;Week day lunch,8,The Godfather,Sprite,Teachers;Friends,A lot (hot),Sushi
111508,5,9,At a party,9,Shazam,Pepsi,Parents,A little (mild),Shawarma
111645,1,10,At a party;Late night snack,10,Frozen,Water,Friends;Siblings,A moderate amount (medium),Pizza
111782,2,11,Late night snack,11,Titanic,Orange Juice,Teachers,A lot (hot),Sushi
111919,3,12,Week day lunch;Weekend dinner;At a party,12,Jurassic Park,Lemonade,Siblings;Friends,A little (mild),Shawarma
112056,4,13,Weekend dinner,13,The Matrix,Root Beer,Teachers,A moderate amount (medium),Pizza
112193,5,14,At a party;Week day lunch,14,Star Wars,Fanta,Friends;Teachers,A lot (hot),Sushi
112330,1,15,Week day lunch,15,Interstellar,Ginger Ale,Siblings,A little (mild),Shawarma
112467,2,3,Week day dinner;Weekend lunch,16,The Lion King,Coke,Teachers;Friends,A moderate amount (medium),Pizza
112604,3,4,Weekend lunch;At a party,17,Coco,Sprite,Parents;Siblings,A lot (hot),Sushi
112741,4,5,At a party;Late night snack,18,Moana,Pepsi,Friends;Teachers,A little (mild),Shawarma
112878,5,6,Late night snack,19,Deadpool,Water,Teachers,A moderate amount (medium),Pizza
113015,1,7,Week day lunch;Week day dinner,20,Harry Potter,Orange Juice,Siblings,A lot (hot),Sushi
113152,2,8,Week day dinner,5,Guardians,Lemonade,Friends;Parents,A little (mild),Shawarma
113289,3,9,Weekend lunch;Weekend dinner,6,Dune,Root Beer,Teachers,A moderate amount (medium),Pizza
113426,4,10,Weekend dinner;At a party,7,Mulan,Fanta,Siblings;Friends,A lot (hot),Sushi
113563,5,11,At a party;Late night snack,8,Casablanca,Ginger Ale,Teachers,A little (mild),Shawarma
113700,1,12,Late night snack,9,Matrix Reloaded,Coke,Friends,A moderate amount (medium),Pizza
113837,2,13,Week day lunch;Weekend lunch;At a party,10,Avengers,Sprite,Parents;Teachers,A lot (hot),Sushi
113974,3,14,Weekend lunch,11,Inception,Pepsi,Siblings,A little (mild),Shawarma
114111,4,15,Weekend dinner;Week day lunch,12,The Godfather,Water,Friends;Teachers,A moderate amount (medium),Pizza
114248,5,3,At a party,13,Shazam,Orange Juice,Parents,A lot (hot),Sushi
114385,1,4,At a party;Late night snack,14,Frozen,Lemonade,Friends;Siblings,A little (mild),Shawarma
114522,2,5,Late night snack,15,Titanic,Root Beer,Teachers,A moderate amount (medium),Pizza
114659,3,6,Week day lunch;Weekend lunch,16,Jurassic Park,Fanta,Siblings,A lot (hot),Sushi
114796,4,7,Weekend lunch;At a party,17,The Matrix,Ginger Ale,Friends;Teachers,A little (mild),Shawarma
114933,5,8,At a party;Late night snack,18,Star Wars,Coke,Parents,A moderate amount (medium),Pizza
115070,1,9,Late night snack,19,Interstellar,Sprite,Friends;Siblings,A lot (hot),Sushi
115207,2,10,Week day lunch;Week day dinner,20,The Lion King,Pepsi,Teachers,A little (mild),Shawarma
115344,3,11,Week day dinner;At a party;Weekend lunch,5,Coco,Water,Friends;Teachers;Parents,A moderate amount (medium),Pizza
115481,4,12,At a party,6,Moana,Orange Juice,Siblings,A lot (hot),Sushi
115618,5,13,Late night snack;Week day lunch,7,Deadpool,Lemonade,Teachers;Friends,A little (mild),Shawarma
115755,1,14,Week day lunch,8,Harry Potter,Root Beer,Parents,A moderate amount (medium),Pizza
115892,2,15,Week day dinner;Weekend lunch,9,Guardians,Fanta,Friends;Siblings,A lot (hot),Sushi
116029,3,3,Weekend lunch;At a party,10,Dune,Ginger Ale,Teachers,A little (mild),Shawarma
116166,4,4,At a party;Late night snack;Week day dinner,11,Mulan,Coke,Friends;Teachers;Siblings,A moderate amount (medium),Pizza
116303,5,5,Late night snack,12,Casablanca,Sprite,Parents,A lot (hot),Sushi
116440,1,6,Week day lunch;Weekend lunch,13,Matrix Reloaded,Pepsi,Teachers,A little (mild),Shawarma
116577,2,7,Weekend lunch;At a party,14,Avengers,Water,Friends;Siblings,A moderate amount (medium),Pizza
116714,3,8,At a party,15,Inception,Orange Juice,Teachers,A lot (hot),Sushi
116851,4,9,Late night snack;Week day lunch,16,The Godfather,Lemonade,Friends;Teachers,A little (mild),Shawarma
116988,5,10,Week day lunch;Weekend dinner,17,Shazam,Root Beer,Siblings,A moderate amount (medium),Pizza
117125,1,11,Weekend dinner,18,Frozen,Fanta,Friends,A lot (hot),Sushi
117262,2,12,At a party;Weekend lunch;Week day dinner,19,Titanic,Ginger Ale,Teachers,A little (mild),Shawarma
117399,3,13,Weekend lunch,20,Jurassic Park,Coke,Friends;Siblings,A moderate amount (medium),Pizza
117536,4,14,At a party;Late night snack,5,The Matrix,Sprite,Teachers,A lot (hot),Sushi
117673,5,15,Late night snack;Week day lunch;Weekend dinner,6,Star Wars,Pepsi,Friends;Teachers;Parents,A little (mild),Shawarma
117810,1,3,Week day lunch,7,Interstellar,Water,Siblings,A moderate amount (medium),Pizza
117947,2,4,Week day dinner;Weekend lunch,8,The Lion King,Orange Juice,Friends,A lot (hot),Sushi
