id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
716549,3,6,"Week day lunch,At a party,Late night snack",5,cloudy with a chance of meatballs,soda,Friends,A little (mild),Pizza
715742,4,2,"Week day lunch,At a party,Late night snack",5,all sort of american young boy movies,soda,"Friends,Teachers,Strangers",None,Pizza
727333,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,action movie,None,Friends,A moderate amount (medium),Pizza
606874,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3,mamma mia,soda,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
505318,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,cloudy with a chance of meatballs,soda,"Siblings,Friends",A little (mild),Pizza
605771,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,none,soda,"Siblings,Friends",None,Pizza
606929,3,4,Week day lunch,0,dragon,soda,Friends,None,Pizza
609789,4,4.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,rick and morty,soda,Friends,A moderate amount (medium),Pizza
644623,3,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3,home alone,soda,None,None,Pizza
626792,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,cloudy with a chance of meatballs,soda,"Parents,Siblings,Friends",A lot (hot),Pizza
714863,3,10,"Weekend dinner,At a party",20,none,soda,Friends,None,Pizza
602805,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,the big lebowski,tea,"Parents,Friends",A little (mild),Pizza
